,index,stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang,is_train,target_object,summarized_utterance,anchor_objects,referential_order,ref_objects_rel
0,26728,scene0627_00-picture-6-38-24-25-39-40-43,"The middle picture, in the row of three pictures.",True,564,661,scene0627_00,picture,38,"['the', 'middle', 'picture', 'in', 'the', 'row', 'of', 'three', 'pictures']",nr3d,True,True,True,False,False,True,picture,the middle picture.,[],['picture'],"[['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light']]"
1,3210,scene0007_00-box-2-14-1,Choose the box in the back corner of the desk.,True,308,561,scene0007_00,box,14,"['choose', 'the', 'box', 'in', 'the', 'back', 'corner', 'of', 'the', 'desk']",nr3d,True,True,True,False,False,True,box,the box in the back corner of the desk.,['desk'],"['desk', 'box']","[['desk', 'table', 'dining table', 'side table', 'workbench', 'end table', 'tv stand', 'furniture', 'bar', 'chair', 'drawer'], ['box', 'covered box', 'container', 'storage box', 'case', 'picture', 'block', 'toolbox', 'mail', 'coffee box', 'crate']]"
2,19324,scene0320_00-chair-2-17-29,"Look down the hall so the long, brown desk/shelf is on the right. Select the chair at the end of the hall.",True,321,408,scene0320_00,chair,17,"['look', 'down', 'the', 'hall', 'so', 'the', 'long', 'brown', 'desk', 'shelf', 'is', 'on', 'the', 'right', 'select', 'the', 'chair', 'at', 'the', 'end', 'of', 'the', 'hall']",nr3d,True,True,True,True,True,True,chair,select the chair at the end of the hall.,['picture'],"['picture', 'chair']","[['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
3,12482,scene0167_00-couch-2-6-5,The correct couch has a lamp on either side of it.,True,411,17,scene0167_00,couch,6,"['the', 'correct', 'couch', 'has', 'a', 'lamp', 'on', 'either', 'side', 'of', 'it']",nr3d,True,True,True,False,False,True,couch,the couch with lamps on either side.,['lamp'],"['lamp', 'couch']","[['lamp', 'desk lamp', 'light', 'cup', 'candle', 'salt', 'fan', 'night light', 'mug', 'tv', 'bin'], ['couch', 'couch cushions', 'sofa', 'sofa bed', 'sofa chair', 'furniture', 'armchair', 'pillow', 'futon', 'chair', 'seat']]"
4,25085,scene0320_00-chair-2-17-29,"the chair with a desk in front of it, NOT the one under the really long table",True,289,564,scene0320_00,chair,17,"['the', 'chair', 'with', 'a', 'desk', 'in', 'front', 'of', 'it', 'not', 'the', 'one', 'under', 'the', 'really', 'long', 'table']",nr3d,True,True,True,False,True,True,chair,the chair with a desk in front of it.,['desk'],"['desk', 'chair']","[['desk', 'table', 'dining table', 'side table', 'workbench', 'end table', 'tv stand', 'furniture', 'bar', 'chair', 'drawer'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
5,13152,scene0058_00-keyboard-3-38-0-8,The keyboard closest to the plant on the end of the desks.,True,469,132,scene0058_00,keyboard,38,"['the', 'keyboard', 'closest', 'to', 'the', 'plant', 'on', 'the', 'end', 'of', 'the', 'desks']",nr3d,True,True,True,False,False,True,keyboard,the keyboard closest to the plant on the end of the desks.,"['plant', 'desk']","['plant', 'desk', 'keyboard']","[['plant', 'pot', 'potted plant', 'picture', 'flowerpot', 'decoration', 'can', 'block', 'fish', 'object', 'container'], ['desk', 'table', 'dining table', 'side table', 'workbench', 'end table', 'tv stand', 'furniture', 'bar', 'chair', 'drawer'], ['keyboard', 'keyboard piano', 'laptop', 'printer', 'controller', 'machine', 'picture', 'remote', 'heater', 'notepad', 'block']]"
6,7002,scene0142_00-box-3-18-36-38,the white box on the floor closest to the door,True,220,617,scene0142_00,box,18,"['the', 'white', 'box', 'on', 'the', 'floor', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,True,False,True,box,the white box closest to the door on the floor.,"['door', 'floor']","['door', 'floor', 'box']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['floor', 'closet floor', 'carpet', 'shower floor', 'step', 'picture', 'shoe', 'table', 'mat', 'scale', 'toilet'], ['box', 'covered box', 'container', 'storage box', 'case', 'picture', 'block', 'toolbox', 'mail', 'coffee box', 'crate']]"
7,9834,scene0677_00-bed-2-2-3,The bed has a small refrigerator and a lazy boy recliner in front of it.,True,588,21,scene0677_00,bed,2,"['the', 'bed', 'has', 'a', 'small', 'refrigerator', 'and', 'a', 'lazy', 'boy', 'recliner', 'in', 'front', 'of', 'it']",nr3d,True,True,True,False,True,True,mini fridge,the small refrigerator and lazy boy recliner in front of the bed.,['bed'],"['bed', 'mini fridge']","[['bed', 'mattress', 'sofa bed', 'car', 'pillow', 'tv', 'boat', 'headboard', 'futon', 'seat', 'couch'], ['mini fridge', 'refrigerator', 'vending machine', 'food container', 'storage container', 'storage box', 'water cooler', 'luggage', 'file cabinet', 'storage bin', 'lunch box']]"
8,25948,scene0420_00-table-4-5-6-22-25,table close to the balckboard with 3 chairs in it,True,668,534,scene0420_00,table,5,"['table', 'close', 'to', 'the', 'blackboard', 'with', 'three', 'chairs', 'in', 'it']",nr3d,True,True,False,False,False,True,table,the table near the blackboard with 3 chairs.,"['blackboard', 'chair']","['blackboard', 'chair', 'table']","[['blackboard', 'blackboard eraser', 'whiteboard', 'board', 'bulletin board', 'sign', 'picture', 'display', 'block', 'painting', 'headboard'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch'], ['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand']]"
9,28632,scene0352_00-box-3-13-14-36,Choose the boxes closest to the open door.,True,7,353,scene0352_00,box,13,"['choose', 'the', 'boxes', 'closest', 'to', 'the', 'open', 'door']",nr3d,True,True,True,False,False,True,box,the boxes closest to the open door.,['door'],"['door', 'box']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['box', 'covered box', 'container', 'storage box', 'case', 'picture', 'block', 'toolbox', 'mail', 'coffee box', 'crate']]"
