,scan_id,target_id,distractor_ids,utterance,stimulus_id,coarse_reference_type,reference_type,instance_type,anchors_types,anchor_ids,tokens,dataset,mentions_target_class,correct_guess,is_train,summarized_utterance,target_object,anchor_objects,referential_order,ref_objects_rel
0,scene0656_00,4,[5],select the curtain that is near the table,scene0656_00-curtain-2-4-5,horizontal,closest,curtain,['table'],[7],"['select', 'the', 'curtain', 'that', 'is', 'near', 'the', 'table']",sr3d,True,True,True,select the curtain that is near the table,curtain,"['table', 'curtain']","['table', 'curtain']","[['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand'], ['curtain', 'curtain rod', 'cloth', 'shower curtain', 'blinds', 'blanket', 'window', 'decoration', 'screen', 'wall hanging', 'toilet paper']]"
1,scene0473_00,4,[3],choose the door that is farthest from the table,scene0473_00-door-2-4-3,horizontal,farthest,door,['table'],[6],"['choose', 'the', 'door', 'that', 'is', 'farthest', 'from', 'the', 'table']",sr3d,True,True,True,choose the door that is farthest from the table,door,"['table', 'door']","['table', 'door']","[['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
2,scene0369_01,21,"[10, 27]",find the book that is farthest from the picture,scene0369_01-book-3-21-10-27,horizontal,farthest,book,['picture'],[3],"['find', 'the', 'book', 'that', 'is', 'farthest', 'from', 'the', 'picture']",sr3d,True,True,True,find the book that is farthest from the picture,book,"['picture', 'book']","['picture', 'book']","[['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light'], ['book', 'picture', 'music book', 'magazine', 'block', 'box', 'card', 'paper', 'object', 'machine', 'board']]"
3,scene0404_00,3,[2],choose the shelf that is near the clothes dryer,scene0404_00-shelf-2-3-2,horizontal,closest,shelf,['clothes dryer'],[19],"['choose', 'the', 'shelf', 'that', 'is', 'near', 'the', 'clothes', 'dryer']",sr3d,True,True,True,choose the shelf that is near the clothes dryer,shelf,"['clothes dryer', 'shelf']","['clothes dryer', 'shelf']","[['clothes dryer', 'washing machine', 'clothes hanger', 'clothing rack', 'clothes', 'laundry hamper', 'hair dryer', 'cloth', 'laundry detergent', 'laundry bag', 'coffee maker'], ['shelf', 'storage shelf', 'bookshelf', 'closet shelf', 'display', 'display rack', 'pantry shelf', 'closet', 'stand', 'cabinet', 'structure']]"
4,scene0672_01,24,[6],find the shelf that is closer to the end table,scene0672_01-shelf-2-24-6,horizontal,closest,shelf,['end table'],[12],"['find', 'the', 'shelf', 'that', 'is', 'closer', 'to', 'the', 'end', 'table']",sr3d,True,True,True,find the shelf that is closer to the end table,shelf,"['end table', 'shelf']","['end table', 'shelf']","[['end table', 'side table', 'table', 'coffee table', 'dining table', 'nightstand', 'folded table', 'tv stand', 'furniture', 'desk', 'round table'], ['shelf', 'storage shelf', 'bookshelf', 'closet shelf', 'display', 'display rack', 'pantry shelf', 'closet', 'stand', 'cabinet', 'structure']]"
5,scene0505_00,9,"[31, 46]",find the shelf that is closer to the couch,scene0505_00-shelf-3-9-31-46,horizontal,closest,shelf,['couch'],[24],"['find', 'the', 'shelf', 'that', 'is', 'closer', 'to', 'the', 'couch']",sr3d,True,True,True,find the shelf that is closer to the couch,shelf,"['couch', 'shelf']","['couch', 'shelf']","[['couch', 'couch cushions', 'sofa', 'sofa bed', 'sofa chair', 'furniture', 'armchair', 'pillow', 'futon', 'chair', 'seat'], ['shelf', 'storage shelf', 'bookshelf', 'closet shelf', 'display', 'display rack', 'pantry shelf', 'closet', 'stand', 'cabinet', 'structure']]"
6,scene0141_00,8,"[6, 7]",select the chair that is near the door,scene0141_00-chair-3-8-6-7,horizontal,closest,chair,['door'],[13],"['select', 'the', 'chair', 'that', 'is', 'near', 'the', 'door']",sr3d,True,True,True,select the chair that is near the door,chair,"['door', 'chair']","['door', 'chair']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
7,scene0672_01,21,"[17, 23]",the window that is farthest from the plant,scene0672_01-window-3-21-17-23,horizontal,farthest,window,['plant'],[26],"['the', 'window', 'that', 'is', 'farthest', 'from', 'the', 'plant']",sr3d,True,True,True,the window that is farthest from the plant,window,"['plant', 'window']","['plant', 'window']","[['plant', 'pot', 'potted plant', 'picture', 'flowerpot', 'decoration', 'can', 'block', 'fish', 'object', 'container'], ['window', 'windowsill', 'glass', 'display case', 'door', 'display', 'frame', 'case', 'blinds', 'screen', 'vent']]"
8,scene0305_00,19,[20],find the keyboard that is far away from the stool,scene0305_00-keyboard-2-19-20,horizontal,farthest,keyboard,['stool'],[36],"['find', 'the', 'keyboard', 'that', 'is', 'far', 'away', 'from', 'the', 'stool']",sr3d,True,True,True,find the keyboard that is far away from the stool,keyboard,"['stool', 'keyboard']","['stool', 'keyboard']","[['stool', 'stepstool', 'step stool', 'chair', 'footstool', 'side table', 'seat', 'office chair', 'furniture', 'end table', 'folded chair'], ['keyboard', 'keyboard piano', 'laptop', 'printer', 'controller', 'machine', 'picture', 'remote', 'heater', 'notepad', 'block']]"
9,scene0464_00,7,[6],select the trash can that is in front of the bookshelf,scene0464_00-trash_can-2-7-6,allocentric,front,trash can,['bookshelf'],[53],"['select', 'the', 'trash', 'can', 'that', 'is', 'in', 'front', 'of', 'the', 'bookshelf']",sr3d,True,True,True,select the trash can that is in front of the bookshelf,trash can,"['bookshelf', 'trash can']","['bookshelf', 'trash can']","[['bookshelf', 'shelf', 'closet shelf', 'storage shelf', 'wardrobe cabinet', 'pantry shelf', 'closet', 'kitchen cabinet', 'cabinet', 'wardrobe closet', 'display case'], ['trash can', 'trash bin', 'plastic bin', 'recycling bin', 'trash bag', 'bucket', 'storage bin', 'garbage bag', 'bin', 'plastic storage bin', 'food container']]"
